Symbol,Date,Close
L,3/07/2019,56.16
L,5/07/2019,55.69
L,8/07/2019,55.66
L,9/07/2019,55.49
L,10/07/2019,55.55
L,11/07/2019,55.3
L,12/07/2019,55.38
L,15/07/2019,55.18
L,16/07/2019,54.8
L,17/07/2019,54.14
L,18/07/2019,54.35
L,19/07/2019,53.84
L,22/07/2019,53.95
L,23/07/2019,54.02
L,24/07/2019,54.74
L,25/07/2019,54.77
L,26/07/2019,54.84
L,29/07/2019,53.91
L,30/07/2019,53.67
L,31/07/2019,53.54
L,1/08/2019,52.87
L,2/08/2019,52.51
L,5/08/2019,50.72
L,6/08/2019,51.55
L,7/08/2019,50.6
L,8/08/2019,51.66
L,9/08/2019,50.97
L,12/08/2019,50.11
L,13/08/2019,50.43
L,14/08/2019,48.14
L,15/08/2019,48.43
L,16/08/2019,48.85
L,19/08/2019,49.19
L,20/08/2019,48.68
L,21/08/2019,48.84
L,22/08/2019,48.62
L,23/08/2019,47.24
L,26/08/2019,47.95
L,27/08/2019,47.45
L,28/08/2019,47.7
L,29/08/2019,48.08
L,30/08/2019,48.07
L,3/09/2019,47.98
L,4/09/2019,48.65
L,5/09/2019,48.96
L,6/09/2019,49.28
L,9/09/2019,49.61
L,10/09/2019,49.91
L,11/09/2019,50.03
L,12/09/2019,50.39
L,13/09/2019,50.8
L,16/09/2019,51.01
L,17/09/2019,51.37
L,18/09/2019,51.28
L,19/09/2019,51.05
L,20/09/2019,50.97
L,23/09/2019,51.58
L,24/09/2019,51.65
L,25/09/2019,51.02
L,26/09/2019,51.15
L,27/09/2019,51.51
L,30/09/2019,51.48
L,1/10/2019,50.12
L,2/10/2019,48.87
L,3/10/2019,49.17
L,4/10/2019,49.99
L,7/10/2019,49.58
L,8/10/2019,48.69
L,9/10/2019,49.1
L,10/10/2019,49.54
L,11/10/2019,50.48
L,14/10/2019,50.41
L,15/10/2019,51.07
L,16/10/2019,50.95
L,17/10/2019,50.85
L,18/10/2019,50.96
L,21/10/2019,51.46
L,22/10/2019,50.89
L,23/10/2019,51.1
L,24/10/2019,50.84
L,25/10/2019,51
L,28/10/2019,49.42
L,29/10/2019,49.39
L,30/10/2019,49.2
L,31/10/2019,49
L,1/11/2019,49.79
L,4/11/2019,49.8
L,5/11/2019,50.49
L,6/11/2019,50.87
L,7/11/2019,50.87
L,8/11/2019,51
L,11/11/2019,50.52
L,12/11/2019,50.65
L,13/11/2019,50.36
L,14/11/2019,50.09
L,15/11/2019,50.16
L,18/11/2019,50.27
L,19/11/2019,50.18
L,20/11/2019,50.35
L,21/11/2019,50.45
L,22/11/2019,50.65
L,25/11/2019,50.8
L,26/11/2019,50.55
L,27/11/2019,51.02
L,29/11/2019,50.9
L,2/12/2019,50.17
L,3/12/2019,48.5
L,4/12/2019,48.88
L,5/12/2019,49.15
L,6/12/2019,50.16
L,9/12/2019,50.33
L,10/12/2019,50.07
L,11/12/2019,49.99
L,12/12/2019,51.09
L,13/12/2019,50.61
L,16/12/2019,51.07
L,17/12/2019,51.4
L,18/12/2019,51.32
L,19/12/2019,51.17
L,20/12/2019,51.66
L,23/12/2019,51.4
L,24/12/2019,51.45
L,26/12/2019,51.94
L,27/12/2019,51.89
L,30/12/2019,52.01
